antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
"frozenset({10000602, 10000604})",frozenset({10000603}),0.0803534172721432,0.1940331030645834,0.0674214977845187,0.8390619848334981,4.324323899279282,0.0518302748893615,5.007933620292175
frozenset({10000603}),"frozenset({10000602, 10000604})",0.1940331030645834,0.0803534172721432,0.0674214977845187,0.3474742026986895,4.324323899279281,0.0518302748893615,1.4093643293970806
frozenset({10000629}),"frozenset({10000627, 10000628})",0.1309829583463038,0.1181556864017803,0.0656093732406959,0.500900071803481,4.239322601031698,0.0501329918903526,1.7668692455731956
"frozenset({10000627, 10000628})",frozenset({10000629}),0.1181556864017803,0.1309829583463038,0.0656093732406959,0.5552790156674795,4.239322601031698,0.0501329918903526,1.954072490997922
frozenset({10000628}),"frozenset({10000600, 10000627, 10000629})",0.1941152315161309,0.046883423961638,0.0384712186140161,0.1981875317744924,4.227240995381599,0.0293704319174338,1.1887026129036202
"frozenset({10000600, 10000627, 10000629})",frozenset({10000628}),0.046883423961638,0.1941152315161309,0.0384712186140161,0.8205718644929787,4.227240995381598,0.0293704319174338,4.491406914565712
"frozenset({10000600, 10000627, 10000628})",frozenset({10000629}),0.0695449156527556,0.1309829583463038,0.0384712186140161,0.5531852077599261,4.223337255044798,0.029362019823874,1.944915559525103
frozenset({10000629}),"frozenset({10000600, 10000627, 10000628})",0.1309829583463038,0.0695449156527556,0.0384712186140161,0.2937116331752308,4.223337255044797,0.029362019823874,1.3173869598479329
"frozenset({10000600, 10000629})","frozenset({10000627, 10000628})",0.0774054032573203,0.1181556864017803,0.0384712186140161,0.4970094721440245,4.206394861555608,0.0293253300609408,1.7532026246242234
"frozenset({10000627, 10000628})","frozenset({10000600, 10000629})",0.1181556864017803,0.0774054032573203,0.0384712186140161,0.325597690518232,4.206394861555607,0.0293253300609408,1.368018145506694
frozenset({10000604}),"frozenset({10000602, 10000603})",0.1349761231396912,0.1188120516879383,0.0674214977845187,0.4995068477018121,4.204176601661373,0.0513847076654082,1.76063936992101
"frozenset({10000602, 10000603})",frozenset({10000604}),0.1188120516879383,0.1349761231396912,0.0674214977845187,0.567463458686854,4.204176601661372,0.0513847076654082,1.9998862390543148
"frozenset({10000627, 10000629})",frozenset({10000628}),0.0804991290410178,0.1941152315161309,0.0656093732406959,0.8150320882014153,4.198702398753733,0.0499832661700518,4.356889585050909
frozenset({10000628}),"frozenset({10000627, 10000629})",0.1941152315161309,0.0804991290410178,0.0656093732406959,0.3379918862021079,4.198702398753733,0.0499832661700518,1.3889571015736848
"frozenset({10000603, 10000604})",frozenset({10000602}),0.089614724836571,0.181025678387633,0.0674214977845187,0.7523484327768046,4.15603156125613,0.0511989314274574,3.30696199824275
frozenset({10000602}),"frozenset({10000603, 10000604})",0.181025678387633,0.089614724836571,0.0674214977845187,0.3724416247740726,4.15603156125613,0.0511989314274574,1.4506782334562602
"frozenset({10000600, 10000628})","frozenset({10000627, 10000629})",0.1167224124570315,0.0804991290410178,0.0384712186140161,0.3295958145842672,4.09440224398358,0.0290751660716586,1.3715619486903694
"frozenset({10000627, 10000629})","frozenset({10000600, 10000628})",0.0804991290410178,0.1167224124570315,0.0384712186140161,0.477908507487247,4.094402243983579,0.0290751660716586,1.691806130170552
"frozenset({10000600, 10000628, 10000629})",frozenset({10000627}),0.0458687401892928,0.2277779617572839,0.0384712186140161,0.8387241170185115,3.6822004664008743,0.0280233304653246,4.788205303649479
frozenset({10000627}),"frozenset({10000600, 10000628, 10000629})",0.2277779617572839,0.0458687401892928,0.0384712186140161,0.1688978965182346,3.6822004664008734,0.0280233304653246,1.1480313379228997
frozenset({10000627}),"frozenset({10000628, 10000629})",0.2277779617572839,0.0790122066722743,0.0656093732406959,0.2880409181578687,3.645524284021082,0.04761213385094,1.2935965237563245
"frozenset({10000628, 10000629})",frozenset({10000627}),0.0790122066722743,0.2277779617572839,0.0656093732406959,0.8303700909510039,3.6455242840210818,0.04761213385094,4.552393163281521
"frozenset({10000600, 10000627})","frozenset({10000628, 10000629})",0.138235430478928,0.0790122066722743,0.0384712186140161,0.2783021579976235,3.522267883897497,0.0275489322115842,1.2761404284823854
"frozenset({10000628, 10000629})","frozenset({10000600, 10000627})",0.0790122066722743,0.138235430478928,0.0384712186140161,0.4869022171926735,3.522267883897497,0.0275489322115842,1.6795328266789131
frozenset({10000603}),"frozenset({10000512, 10000604})",0.1940331030645834,0.0456819641946444,0.0307412092752164,0.1584328075451346,3.4681697763711448,0.0218773960084443,1.133977232431785
"frozenset({10000512, 10000604})",frozenset({10000603}),0.0456819641946444,0.1940331030645834,0.0307412092752164,0.6729397436640956,3.4681697763711448,0.0218773960084443,2.4642764790952016
frozenset({10000604}),frozenset({10000603}),0.1349761231396912,0.1940331030645834,0.089614724836571,0.6639302030020952,3.421736768190053,0.0634248888241493,2.398212824047504
frozenset({10000603}),frozenset({10000604}),0.1940331030645834,0.1349761231396912,0.089614724836571,0.4618527633748297,3.421736768190053,0.0634248888241493,1.6074111655483874
"frozenset({10000512, 10000603})",frozenset({10000602}),0.0683189498155421,0.181025678387633,0.0418722637647947,0.6128938439166263,3.385673509833381,0.0295047795277055,2.1156323885378323
frozenset({10000602}),"frozenset({10000512, 10000603})",0.181025678387633,0.0683189498155421,0.0418722637647947,0.2313056586101171,3.385673509833381,0.0295047795277055,1.2120305822726332
frozenset({10000602}),frozenset({10000603}),0.181025678387633,0.1940331030645834,0.1188120516879383,0.6563270622498336,3.3825520072797928,0.0836870775760146,2.345156712692099
frozenset({10000603}),frozenset({10000602}),0.1940331030645834,0.181025678387633,0.1188120516879383,0.6123287717992743,3.3825520072797923,0.0836870775760146,2.112548628933391
frozenset({10000604}),"frozenset({10000512, 10000603})",0.1349761231396912,0.0683189498155421,0.0307412092752164,0.2277529429660779,3.333671603281372,0.0215197822921394,1.2064546464740138
"frozenset({10000512, 10000603})",frozenset({10000604}),0.0683189498155421,0.1349761231396912,0.0307412092752164,0.4499660688317983,3.333671603281372,0.0215197822921394,1.572673662192274
frozenset({10000603}),"frozenset({10000512, 10000602})",0.1940331030645834,0.064898697204321,0.0418722637647947,0.2157995883354895,3.3251759685727773,0.0292797681613915,1.1924264370263111
"frozenset({10000512, 10000602})",frozenset({10000603}),0.064898697204321,0.1940331030645834,0.0418722637647947,0.6451942114179577,3.3251759685727773,0.0292797681613915,2.27157200607242
frozenset({10000603}),"frozenset({10000600, 10000602})",0.1940331030645834,0.0716087241609982,0.0461674493154858,0.2379359428175466,3.322722833080981,0.0322729863600315,1.2182588420079838
"frozenset({10000600, 10000602})",frozenset({10000603}),0.0716087241609982,0.1940331030645834,0.0461674493154858,0.6447182219262466,3.322722833080981,0.0322729863600315,2.2685286628128303
frozenset({10000602}),frozenset({10000604}),0.181025678387633,0.1349761231396912,0.0803534172721432,0.4438785590411169,3.2885709614116894,0.0559192730146479,1.5554585979796174
frozenset({10000604}),frozenset({10000602}),0.1349761231396912,0.181025678387633,0.0803534172721432,0.5953157892154216,3.2885709614116894,0.0559192730146479,2.023736779906947
"frozenset({10000600, 10000604})",frozenset({10000603}),0.0555108853314611,0.1940331030645834,0.0352827801805501,0.6356011072400134,3.275735414221846,0.0245118308458244,2.211770982153536
frozenset({10000603}),"frozenset({10000600, 10000604})",0.1940331030645834,0.0555108853314611,0.0352827801805501,0.1818389729550753,3.2757354142218458,0.0245118308458244,1.1544049196279762
frozenset({10000604}),"frozenset({10000600, 10000603})",0.1349761231396912,0.0801308756614983,0.0352827801805501,0.2614001599678101,3.2621652741205347,0.0244670252399724,1.245422858876346
"frozenset({10000600, 10000603})",frozenset({10000604}),0.0801308756614983,0.1349761231396912,0.0352827801805501,0.4403144217417179,3.2621652741205347,0.0244670252399724,1.5455532721643936
frozenset({10000603}),"frozenset({10000504, 10000602})",0.1940331030645834,0.0496605578111443,0.0309167257240881,0.1593373771577398,3.20852975038438,0.0212809335920736,1.1304647267125794
"frozenset({10000504, 10000602})",frozenset({10000603}),0.0496605578111443,0.1940331030645834,0.0309167257240881,0.6225609837421145,3.20852975038438,0.0212809335920736,2.135356606548432
"frozenset({10000600, 10000602})",frozenset({10000604}),0.0716087241609982,0.1349761231396912,0.0309365955107528,0.4320227161315982,3.2007343675479825,0.0212711275405217,1.5229902699079274
frozenset({10000604}),"frozenset({10000600, 10000602})",0.1349761231396912,0.0716087241609982,0.0309365955107528,0.2292005044383706,3.2007343675479825,0.0212711275405217,1.2044523656084465
frozenset({10000602}),"frozenset({10000600, 10000603})",0.181025678387633,0.0801308756614983,0.0461674493154858,0.2550325993897219,3.182700766519406,0.031661703189068,1.2347776877014267
"frozenset({10000600, 10000603})",frozenset({10000602}),0.0801308756614983,0.181025678387633,0.0461674493154858,0.5761505653640151,3.182700766519406,0.031661703189068,1.9322293595029272
frozenset({10000629}),frozenset({10000628}),0.1309829583463038,0.1941152315161309,0.0790122066722743,0.6032250887430346,3.107561854016112,0.0535864193882138,2.031088018974944
frozenset({10000628}),frozenset({10000629}),0.1941152315161309,0.1309829583463038,0.0790122066722743,0.4070376448831552,3.107561854016111,0.0535864193882138,1.465551791196684
"frozenset({10000504, 10000603})",frozenset({10000602}),0.0553611996052535,0.181025678387633,0.0309167257240881,0.5584547651520589,3.08494778269098,0.0208949270091939,1.8547914391928717
frozenset({10000602}),"frozenset({10000504, 10000603})",0.181025678387633,0.0553611996052535,0.0309167257240881,0.1707864099693397,3.08494778269098,0.0208949270091939,1.1391984064803111
"frozenset({10000600, 10000604})",frozenset({10000602}),0.0555108853314611,0.181025678387633,0.0309365955107528,0.5573068295709445,3.078606496795305,0.020887699835727,1.8499818301208983
frozenset({10000602}),"frozenset({10000600, 10000604})",0.181025678387633,0.0555108853314611,0.0309365955107528,0.1708961722242955,3.078606496795305,0.020887699835727,1.139168681927795
frozenset({10000628}),"frozenset({10000600, 10000629})",0.1941152315161309,0.0774054032573203,0.0458687401892928,0.2362964504693242,3.0527126082374263,0.0308431724153986,1.2080533045965915
"frozenset({10000600, 10000629})",frozenset({10000628}),0.0774054032573203,0.1941152315161309,0.0458687401892928,0.59257801470022,3.0527126082374263,0.0308431724153986,1.978010018018299
"frozenset({10000600, 10000628})",frozenset({10000629}),0.1167224124570315,0.1309829583463038,0.0458687401892928,0.3929728594855615,3.0001831111997523,0.0305800933003533,1.4315950369488066
frozenset({10000629}),"frozenset({10000600, 10000628})",0.1309829583463038,0.1167224124570315,0.0458687401892928,0.3501886105520778,3.0001831111997523,0.0305800933003533,1.3592830194826198
"frozenset({10000640, 10000627})",frozenset({10000628}),0.0725320069146857,0.1941152315161309,0.0391991151321672,0.5404388600231941,2.7841136205650288,0.0251195478175933,1.75359641706116
frozenset({10000628}),"frozenset({10000640, 10000627})",0.1941152315161309,0.0725320069146857,0.0391991151321672,0.2019373483780934,2.7841136205650288,0.0251195478175933,1.1621493515583228
frozenset({10000629}),frozenset({10000627}),0.1309829583463038,0.2277779617572839,0.0804991290410178,0.6145771179498589,2.698141265329001,0.0506640977639575,2.003570815866233
frozenset({10000627}),frozenset({10000629}),0.2277779617572839,0.1309829583463038,0.0804991290410178,0.3534105249690322,2.698141265329001,0.0506640977639575,1.3440012174835902
frozenset({10000628}),frozenset({10000627}),0.1941152315161309,0.2277779617572839,0.1181556864017803,0.6086883830749861,2.672288303833333,0.0739405146209927,1.97341966055328
frozenset({10000627}),frozenset({10000628}),0.2277779617572839,0.1941152315161309,0.1181556864017803,0.5187318627764563,2.672288303833333,0.0739405146209927,1.6745026444780915
frozenset({10000627}),"frozenset({10000600, 10000629})",0.2277779617572839,0.0774054032573203,0.046883423961638,0.2058294999214902,2.659110233393488,0.029252178978685,1.1617084702233011
"frozenset({10000600, 10000629})",frozenset({10000627}),0.0774054032573203,0.2277779617572839,0.046883423961638,0.6056867090503043,2.659110233393488,0.029252178978685,1.9583971830694185
"frozenset({10000600, 10000628})",frozenset({10000627}),0.1167224124570315,0.2277779617572839,0.0695449156527556,0.5958145842672402,2.615769232767696,0.0429581224518999,1.9105638357651569
frozenset({10000627}),"frozenset({10000600, 10000628})",0.2277779617572839,0.1167224124570315,0.0695449156527556,0.305318895279524,2.615769232767696,0.0429581224518999,1.2714864151924492
"frozenset({10000600, 10000627})",frozenset({10000628}),0.138235430478928,0.1941152315161309,0.0695449156527556,0.5030903829200046,2.591709980667838,0.0427113130616064,1.6217934626009325
frozenset({10000628}),"frozenset({10000600, 10000627})",0.1941152315161309,0.138235430478928,0.0695449156527556,0.358266144854153,2.591709980667838,0.0427113130616064,1.3428691078254216
frozenset({10000629}),"frozenset({10000600, 10000627})",0.1309829583463038,0.138235430478928,0.046883423961638,0.3579352959618127,2.589316608062899,0.0287769383292332,1.3421771421184023
"frozenset({10000600, 10000627})",frozenset({10000629}),0.138235430478928,0.1309829583463038,0.046883423961638,0.3391563494192955,2.5893166080628984,0.0287769383292332,1.3150115627048289
frozenset({10000627}),"frozenset({10000640, 10000628})",0.2277779617572839,0.0665863044183782,0.0391991151321672,0.1720935371874873,2.5845185236018056,0.0240322224307989,1.1274385905995787
"frozenset({10000640, 10000628})",frozenset({10000627}),0.0665863044183782,0.2277779617572839,0.0391991151321672,0.588696361429964,2.5845185236018056,0.0240322224307989,1.8774986793879855
"frozenset({10000504, 10000628})",frozenset({10000627}),0.0682944437453223,0.2277779617572839,0.0386891239411059,0.5665047084266774,2.4870918330120744,0.0231331547454489,1.7813850651988
frozenset({10000627}),"frozenset({10000504, 10000628})",0.2277779617572839,0.0682944437453223,0.0386891239411059,0.1698545532790936,2.487091833012074,0.0231331547454489,1.1223401392309458
frozenset({10000628}),"frozenset({10000504, 10000627})",0.1941152315161309,0.0825331328692634,0.0386891239411059,0.1993100883373538,2.414910005331688,0.0226681857464372,1.1458454187659253
"frozenset({10000504, 10000627})",frozenset({10000628}),0.0825331328692634,0.1941152315161309,0.0386891239411059,0.4687708147755816,2.414910005331688,0.0226681857464372,1.5170190021533212
frozenset({10000640}),frozenset({10000648}),0.2003583184861871,0.0792559427220283,0.0345913116046177,0.1726472445265729,2.1783507784658216,0.0187117241907945,1.1128796649152446
frozenset({10000648}),frozenset({10000640}),0.0792559427220283,0.2003583184861871,0.0345913116046177,0.4364506990464888,2.1783507784658216,0.0187117241907945,1.4189382901564058
frozenset({10000602}),frozenset({10000378}),0.181025678387633,0.0903035441076147,0.0337335991469238,0.1863470389802354,2.0635628515107407,0.0173863388140353,1.1180398763033417
frozenset({10000378}),frozenset({10000602}),0.0903035441076147,0.181025678387633,0.0337335991469238,0.3735578650902503,2.0635628515107407,0.0173863388140353,1.3073423321538786
frozenset({10000512}),frozenset({10000378}),0.243728764165502,0.0903035441076147,0.0419841968963393,0.1722578664036153,1.90754270063128,0.0199746256912254,1.0990094849224654
frozenset({10000378}),frozenset({10000512}),0.0903035441076147,0.243728764165502,0.0419841968963393,0.464923025017786,1.9075427006312795,0.0199746256912254,1.413387738950338
"frozenset({10000600, 10000628})",frozenset({10000640}),0.1167224124570315,0.2003583184861871,0.0433989257068676,0.3718131316283741,1.8557409267437384,0.0200126194173256,1.2729360032415655
frozenset({10000640}),"frozenset({10000600, 10000628})",0.2003583184861871,0.1167224124570315,0.0433989257068676,0.2166065578647766,1.8557409267437384,0.0200126194173256,1.127501891176801
frozenset({10000378}),frozenset({10000603}),0.0903035441076147,0.1940331030645834,0.0324884258492677,0.3597691117255744,1.8541635733456583,0.0149665489683378,1.2588691231497575
frozenset({10000603}),frozenset({10000378}),0.1940331030645834,0.0903035441076147,0.0324884258492677,0.1674375420283522,1.8541635733456583,0.0149665489683378,1.0926465001900965
"frozenset({10000600, 10000627})",frozenset({10000640}),0.138235430478928,0.2003583184861871,0.0478616797917646,0.3462330867415386,1.7280694375831875,0.0201650613857923,1.2231296281549215
frozenset({10000640}),"frozenset({10000600, 10000627})",0.2003583184861871,0.138235430478928,0.0478616797917646,0.238880422601791,1.728069437583187,0.0201650613857923,1.1322328253162337
frozenset({10000640}),frozenset({10000628}),0.2003583184861871,0.1941152315161309,0.0665863044183782,0.3323361112304839,1.7120558167166129,0.0276937030392493,1.2070216497242194
frozenset({10000628}),frozenset({10000640}),0.1941152315161309,0.2003583184861871,0.0665863044183782,0.3430246245918364,1.7120558167166129,0.0276937030392493,1.2171562457984273
"frozenset({10000640, 10000600})",frozenset({10000628}),0.1318519303497744,0.1941152315161309,0.0433989257068676,0.3291489596833338,1.6956369529198003,0.0178044577211724,1.2012872009611286
frozenset({10000628}),"frozenset({10000640, 10000600})",0.1941152315161309,0.1318519303497744,0.0433989257068676,0.2235730054148853,1.6956369529198003,0.0178044577211724,1.1181322593170813
frozenset({10000504}),"frozenset({10000600, 10000586})",0.3556214938105614,0.1082505977494154,0.0646609220905665,0.1818251236664879,1.6796685417607282,0.0261646828130331,1.0899251835338457
"frozenset({10000600, 10000586})",frozenset({10000504}),0.1082505977494154,0.3556214938105614,0.0646609220905665,0.5973262359275576,1.6796685417607282,0.0261646828130331,1.6002495411484334
frozenset({10000640}),"frozenset({10000627, 10000628})",0.2003583184861871,0.1181556864017803,0.0391991151321672,0.1956450594531697,1.6558243230705971,0.0155256404851252,1.0963372873655866
"frozenset({10000627, 10000628})",frozenset({10000640}),0.1181556864017803,0.2003583184861871,0.0391991151321672,0.331758177078954,1.6558243230705971,0.0155256404851252,1.1966351911623645
"frozenset({10000504, 10000600})",frozenset({10000586}),0.2093944351350814,0.1867137359835213,0.0646609220905665,0.3087996204333386,1.6538666467505754,0.0255641048123363,1.1766287867584178
frozenset({10000586}),"frozenset({10000504, 10000600})",0.1867137359835213,0.2093944351350814,0.0646609220905665,0.346310472285088,1.6538666467505754,0.0255641048123363,1.2094511711524905
frozenset({10000640}),frozenset({10000629}),0.2003583184861871,0.1309829583463038,0.0430896193611201,0.2150627919353932,1.6419142967193638,0.0168460940765083,1.1071166364968252
frozenset({10000629}),frozenset({10000640}),0.1309829583463038,0.2003583184861871,0.0430896193611201,0.3289711875891223,1.6419142967193636,0.0168460940765083,1.1916651963733924
"frozenset({10000600, 10000566})",frozenset({10000640}),0.1093182676195333,0.2003583184861871,0.0350397064570183,0.3205292877396214,1.5997802844493272,0.0131368821769456,1.176859674869082
frozenset({10000640}),"frozenset({10000600, 10000566})",0.2003583184861871,0.1093182676195333,0.0350397064570183,0.1748852092678847,1.5997802844493272,0.0131368821769456,1.0794640241392044
"frozenset({10000640, 10000600})",frozenset({10000627}),0.1318519303497744,0.2277779617572839,0.0478616797917646,0.3629956699518772,1.5936382394126385,0.0178287158429296,1.2122712543953638
